,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
653,0.151,3,18,39,10,37,23,11,10,11,9,18,11,19
620,0.15066666666666667,2,19,71,17,77,17,14,104,46,48,30,19,9
153,0.15066666666666667,3,24,20,20,21,26,15,27,23,24,33,29,27
1696,0.15033333333333335,1,14,21,12,22,23,10,18,18,39,30,46,18
714,0.15,4,18,1,14,2,20,13,0,6,17,11,25,26
2512,0.14966666666666667,0,14,25,17,16,14,13,8,18,5,18,37,30
655,0.14966666666666667,0,20,10,13,10,18,15,4,17,23,18,19,17
3166,0.14966666666666667,5,20,14,13,7,16,16,4,10,34,15,46,17
2518,0.14933333333333335,6,22,1,18,1,19,13,1,9,24,15,28,34
2045,0.14933333333333335,5,15,9,10,17,27,5,2,8,50,17,29,20
790,0.14933333333333335,2,17,3,14,1,25,15,0,1,8,12,19,19
173,0.14933333333333335,4,23,0,13,2,24,13,3,5,23,19,37,29
1889,0.14933333333333335,4,20,42,13,27,49,10,18,24,54,38,55,36
451,0.149,3,18,1,13,3,15,12,0,2,24,16,20,27
1028,0.14866666666666667,2,7,0,3,1,7,15,2,2,40,16,9,21
1243,0.14866666666666667,6,37,60,23,67,48,27,97,59,32,47,58,47
3187,0.148,3,23,74,16,69,20,17,67,37,36,53,20,42
650,0.148,6,12,3,12,3,11,11,1,2,18,7,3,9
430,0.14766666666666667,3,16,4,15,3,25,15,0,5,34,27,44,45
788,0.14733333333333334,1,11,4,15,8,13,9,3,7,9,19,20,19
144,0.147,2,15,5,12,6,17,18,0,12,14,21,37,34
1625,0.147,2,16,64,15,65,33,10,73,37,22,42,32,27
2477,0.14633333333333334,2,18,6,15,7,16,10,2,5,16,14,10,18
637,0.14633333333333334,3,27,16,16,15,21,13,7,20,14,25,29,18
182,0.14566666666666667,2,22,63,22,57,22,17,41,25,9,32,41,39
2419,0.14533333333333334,1,13,1,8,0,11,11,0,1,3,4,7,12
172,0.14533333333333334,1,14,0,11,0,9,9,0,2,1,8,9,10
2036,0.145,1,22,34,12,27,22,16,13,24,9,21,20,21
160,0.14433333333333334,1,14,6,19,5,20,9,4,5,29,26,23,35
1329,0.144,2,19,1,11,1,12,18,0,2,12,17,13,12
7,0.14366666666666666,4,15,22,14,23,14,9,12,16,17,18,34,16
1645,0.14366666666666666,1,13,1,13,1,14,14,1,2,19,9,13,18
600,0.14366666666666666,3,17,2,11,4,14,12,1,5,6,10,13,8
1003,0.14333333333333334,2,16,16,15,14,14,10,5,9,18,23,11,10
175,0.14333333333333334,0,4,0,12,3,6,11,0,5,17,4,10,18
816,0.143,2,11,4,9,2,8,15,1,5,18,8,15,7
1641,0.14266666666666666,2,15,21,10,20,20,12,3,17,15,22,14,29
939,0.141,0,13,5,9,4,9,8,1,12,9,4,5,4
1053,0.14,1,11,1,12,1,9,12,1,5,17,5,7,14
698,0.13966666666666666,1,16,28,8,26,26,13,19,24,4,28,29,28
1020,0.13966666666666666,4,30,5,14,4,43,14,6,9,28,19,31,27
158,0.13933333333333334,2,16,13,12,11,20,14,7,6,27,18,20,22
2786,0.13833333333333334,2,27,0,11,3,20,16,1,6,14,20,25,21
2145,0.13833333333333334,6,11,0,10,0,11,13,0,1,15,3,16,21
736,0.13766666666666666,4,15,60,16,47,18,17,46,26,39,25,21,24
681,0.13766666666666666,2,9,15,9,10,9,11,7,19,17,7,3,5
1002,0.13733333333333334,4,8,10,16,9,8,6,3,10,22,10,39,19
1598,0.13733333333333334,0,10,0,11,0,10,10,1,1,3,3,15,7
666,0.13733333333333334,2,16,2,12,2,15,13,0,5,5,7,8,14
1620,0.137,2,9,6,11,6,10,7,2,2,24,9,5,6
1595,0.137,1,9,1,13,1,11,7,1,2,1,2,2,13
2776,0.13666666666666666,2,16,6,6,4,15,15,1,8,8,11,21,10
633,0.13666666666666666,2,19,9,16,8,11,13,3,13,19,12,8,8
3104,0.13633333333333333,5,18,28,12,23,14,6,15,15,6,18,13,16
1634,0.136,2,26,36,8,38,35,10,51,25,39,36,44,37
2353,0.13566666666666666,3,16,13,10,3,13,9,5,11,11,19,23,18
593,0.13533333333333333,1,6,0,9,0,6,14,0,2,10,6,4,7
189,0.135,0,22,5,15,3,25,13,4,12,16,26,29,30
328,0.13466666666666666,5,14,6,16,8,12,14,4,7,7,12,20,9
2804,0.13466666666666666,5,14,43,13,35,26,11,28,21,20,26,16,21
623,0.13466666666666666,4,17,12,12,8,13,14,2,8,21,18,21,12
2784,0.13433333333333333,5,8,2,14,4,7,9,0,3,10,6,7,17
713,0.13433333333333333,2,5,5,11,5,3,18,3,7,3,5,15,8
181,0.134,2,13,2,8,2,15,11,2,6,22,13,33,27
1674,0.134,1,7,0,9,0,6,12,0,5,19,3,9,10
1885,0.134,1,18,22,8,23,24,12,24,28,7,24,32,29
1253,0.13333333333333333,2,44,33,13,32,65,21,43,41,47,37,71,52
1326,0.13333333333333333,0,10,2,14,2,9,8,2,2,19,7,8,17
1004,0.133,5,9,13,6,18,9,14,6,10,21,16,5,12
791,0.13266666666666665,1,6,3,10,6,6,12,2,5,40,11,4,8
86,0.13266666666666665,5,10,5,9,3,8,11,0,5,15,7,8,7
2471,0.13233333333333333,2,16,9,6,6,16,8,0,8,22,16,17,23
829,0.13233333333333333,2,9,2,10,1,5,13,1,7,6,7,4,10
2081,0.132,1,13,54,19,42,16,9,58,31,22,22,60,18
779,0.132,3,10,1,6,2,13,6,0,2,2,10,9,25
1330,0.132,3,12,11,6,11,12,8,5,8,5,14,15,13
70,0.13133333333333333,2,16,4,17,1,18,12,4,7,6,15,27,35
280,0.13133333333333333,1,18,19,17,28,15,15,6,11,33,24,34,34
4211,0.13133333333333333,7,27,26,14,32,41,15,26,27,9,30,44,34
1256,0.13133333333333333,3,32,61,12,54,47,16,84,33,29,50,63,41
438,0.13133333333333333,1,8,1,6,2,5,12,2,4,17,10,12,6
706,0.131,4,11,5,13,3,17,15,2,8,11,3,17,18
2771,0.131,3,12,7,9,9,15,12,5,8,14,20,14,15
97,0.13066666666666665,1,31,54,9,49,39,18,68,27,23,33,43,30
199,0.13,2,11,58,8,51,14,9,61,31,12,36,26,27
2056,0.13,2,7,3,7,2,18,10,10,9,10,14,32,7
1030,0.13,2,9,0,12,1,7,10,2,8,22,9,19,14
310,0.12966666666666668,4,23,15,8,14,30,11,8,17,19,13,35,18
2058,0.12933333333333333,0,20,32,8,28,22,14,16,19,6,35,44,30
836,0.12933333333333333,2,11,6,13,6,10,10,10,11,11,21,10,11
2523,0.129,2,12,0,10,0,11,8,1,3,10,7,15,27
4229,0.129,3,20,2,12,2,21,16,2,6,14,25,35,28
2440,0.129,1,12,5,8,6,9,10,2,6,34,16,18,14
